Note,First Peak,MCD,Bayesian MAP
195,233.1498357773974,382.79967155477584,233.88999381901726
196,262.1285242570485,499.55704851409143,262.2730318865038
197,139.78159126365054,277.76318252730067,138.79628986200214
198,833.3937337330742,1665.3874674661497,832.652963513389
199,185.19270600657924,329.28541201314914,185.1926445823631
200,72.89719626168224,145.69439252336448,73.55535445779854
201,742.4223525009355,1215.7447050021158,742.7269677604111
202,294.6301283066688,578.8602566133352,294.08687601598206
203,311.8868645687349,487.8737291374389,298.4669043549565
204,155.71616294349542,200.73232588696567,322.24116312381204
205,68.9933971162916,134.08679423258343,69.29654478336461
206,65.10926902788245,130.1185380557649,66.00000000316453
207,278.52998065764024,555.4599613152801,277.67015687702235
208,329.8645199293147,648.2290398586268,330.11348044689095
209,109.32652660514431,196.0530532102899,110.1434821235385
210,247.48646558391337,476.7729311678226,247.5751878959732
211,392.69261318506756,693.3852263701142,390.5341889308258
212,1249.6073254687033,2332.0146509375586,1249.4738074250997
213,331.1826352888524,620.8652705776954,330.40372610690474
214,131.54616572823758,233.3923314564684,131.54616566181886
215,278.66198017455866,555.923960349117,269.8010252344423
216,990.5773059057731,1809.4546118117023,990.8333380916472
217,165.1026283321494,280.4052566642875,127.55908983004282
218,247.92926942764075,495.7585388552815,247.92926936357884
219,622.8344813191402,1214.7689626383085,623.3588885001546
220,1253.6131934032983,2505.2263868065984,1252.9141708790319
221,1111.1277856982067,1989.7555713966249,1111.917372829295
222,1317.0511080958843,2495.302216191895,1316.9737924831995
223,330.58841143883814,661.0768228776762,330.5884114077765
224,92.48989566688599,184.87979133377198,92.4898923815825
225,124.34484005060546,248.58968010121092,123.27031744575206
226,786.8158984753679,1451.7317969508467,786.3126141295825
227,208.55671186797017,411.6134237359391,199.37324251247807
228,116.23080116230801,207.76160232461743,116.84761757264471
229,589.9105861574126,1116.321172314883,589.146680029879
230,440.8602150537635,881.620430107527,441.63062975592914
231,552.1603352176148,1056.720670435273,552.9202754766201
232,440.90924218724,881.4184843744799,440.747705109085
233,91.92639879834772,160.1527975966968,88.80029960374993
234,441.69315710222526,868.8863142044472,441.3725650725818
235,97.25091371365009,194.1018274273002,83.69413892147182
236,881.6761535666707,1761.8523071333427,881.0067501879143
237,196.27953745600806,376.35907491201243,196.3876110876957
238,87.40564163686929,174.6112832737386,87.40564164214281
239,1179.1803769069697,2356.760753813941,1178.3379936841873
240,109.67250571210967,186.5450114242212,110.12500662324791
241,124.1557695071131,211.91153901422828,126.00192766137118
242,929.241532835109,1765.2830656703027,929.6107232197122
243,209.3218643728746,370.4437287457382,208.43698149467144
244,73.23195039125942,135.96390078251943,73.55602186768007
245,522.834016188668,857.0680323775075,523.4960092086457
246,110.09609680863684,220.0921936172737,71.07603540041346
247,82.54176220111366,164.38352440222735,82.14741699415578
248,78.60262008733625,130.50524017467401,77.98618247745097
249,220.77970251122076,440.75940502244134,220.3579523389858
250,369.19221800716946,538.9844360142936,368.9488109061908
251,369.63696369636966,576.6739273927024,370.69992725517665
252,587.9292746369892,1140.6585492740105,588.6904372545652
253,556.166535742341,1053.1330714847359,555.824949063862
254,414.92617449664436,791.9523489932801,415.2541685750889
255,1398.9330171902786,2634.466034380706,1399.618907154196
256,312.51704390509957,623.8340878101989,311.93608832136863
257,207.70405565925677,391.5081113185081,207.99126308686087
258,589.1655847987727,1070.5311695976434,588.778103615708
259,294.53998998163297,523.279979963251,294.534576765519
260,294.12927456018974,566.9585491203746,294.3578224954883
261,1571.7990418003603,2573.598083601239,1568.0
262,415.33288500336243,647.0657700066831,415.9477377995746
263,109.63344999079018,195.7668999815817,110.03750608042554
264,441.7690662156112,863.6381324312179,441.1984705628201
265,311.9440706338005,485.68814126756956,312.2254055565036
266,555.0802139037434,1072.8604278075206,555.5631273494889
267,660.0982289031106,1200.1964578063303,660.3538960588133
268,415.6233600719694,713.546720143912,416.0846207514423
269,587.7868785986539,962.0737571975019,587.9144263193843
270,117.5923970432946,212.3847940865905,116.69715849843124
271,184.99905535613073,316.29811071224924,171.4995523105061
272,787.0619946091645,1539.2239892183607,787.294550919516
273,1396.7634138099352,2500.426827620137,1397.2955140086556
274,124.06553205026243,247.4310641005249,123.72221868080929
275,660.9663949095248,1251.9327898191132,660.6527272265677
276,736.8968136568983,1430.8936273138356,737.8063212382908
277,441.34604514451524,882.2920902890304,441.11341051231506
278,131.78327828064005,263.06655656128,131.31279013008736
279,1571.3950762016414,2932.7901524034737,1568.0
280,494.5295404814005,848.459080962769,494.96236807117117
